house_title,house_type,house_location,price,no_of_reviews,rating,house_detail,amenity_detail
Parkdale Nest,Entire home,Toronto,$55 ,179 reviews,4.36,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n554 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Essentials', 'Shampoo', 'All hosts must meet our requirements and maintain a high overall rating.']"
Sunny Roncesvalles Studio,Mary is a Superhost,Toronto,$55 ,308 reviews,4.85,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n319 Reviews']","['Wifi', 'Iron', 'Dryer', 'Washer', 'All hosts must meet our requirements and maintain a high overall rating.']"
#1B+BALCONY LUXURY CONDO NEXT TORONTO ACC/CN TOWER,Entire home,Toronto,$83 ,174 reviews,4.66,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n174 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
L6 - LOFT in Central Downtown,Entire home,Toronto,$93 ,106 reviews,4.52,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1259 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Chic Queen West 1BR Apartment Toronto,Entire home,Toronto,$60 ,143 reviews,4.84,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n230 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Luxury Stay @ the ❤️ of Toronto,Entire home,Toronto,$117 ,150 reviews,4.8,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym', 'All hosts must meet our requirements and maintain a high overall rating.']"
Spacious 1BR Suite in DOWNTOWN YORKVILLE W/ PATIO,Entire home,Toronto,$59 ,116 reviews,4.71,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n989 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
"clean, cozy fully furnished apt",Entire home,Toronto,$45 ,133 reviews,4.78,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n133 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Breakfast', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
A Bright & Modern Apt 2 - Centrally Located!,Entire home,Toronto,$71 ,215 reviews,4.75,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Sleek Penthouse Condo at Super Location Downtown!,Entire home,Toronto,$98 ,276 reviews,4.83,"['2 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n533 Reviews']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
