"Comfort Inn Brampton, Brampton",HOTEL,$89 CAD,,See all 287 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.700531', '-79.740718']"
"The Roehampton Hotel, Toronto",HOTEL,$89 CAD,,See all 906 Hotels.com reviews,Good7.4,"1 room, 1 adult","['43.708881', '-79.390491']"
"Radisson Suite Hotel - Toronto Airport, Toronto",HOTEL,$127 CAD,,"See all 1,072 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.690583', '-79.575825']"
"Comfort Hotel Airport North, Toronto",HOTEL,$117 CAD,,See all 302 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.715832', '-79.592686']"
"The Omni King Edward Hotel, Toronto",HOTEL,$206 CAD,,"See all 1,726 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.649499', '-79.376246']"
"Marriott Downtown at CF Toronto Eaton Centre, Toronto",HOTEL,$195 CAD,,"See all 1,033 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.654779', '-79.383163']"
"Holiday Inn Toronto Downtown Centre, Toronto",HOTEL,$158 CAD,,"See all 1,548 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.661502', '-79.381053']"
"Hilton Mississauga/Meadowvale, Mississauga",HOTEL,$120 CAD,,See all 863 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.6004', '-79.74118']"
"Chelsea Hotel, Toronto, Toronto",HOTEL,$149 CAD,,"See all 6,947 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.658878', '-79.383115']"
"Sheraton Toronto Airport Hotel & Conference Centre, Toronto",HOTEL,$139 CAD,,See all 382 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.686992', '-79.586317']"
"DoubleTree by Hilton Toronto Airport West, Mississauga",HOTEL,$101 CAD,,See all 679 Hotels.com reviews,Good7.8,"1 room, 1 adult","['43.643685', '-79.633265']"
"Holiday Inn Express Toronto - North York, Toronto",HOTEL,$115 CAD,,See all 549 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.757095', '-79.526514']"
