,,,,,,[],[]
Top Floor 270• the best view 2BD downtown goal,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$169,286 reviews,4.83,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n286 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Gym']"
Newly Renovated Space in Parkdale!,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$99,451 reviews,4.75,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n591 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Hangers', 'Hair dryer']"
Furnished Condo w/Balcony Very Close To CN Tower!!,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$105,303 reviews,4.91,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1053 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV']"
High Park North Studio,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$53,280 reviews,4.78,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n280 Reviews', '\U000f0019\nVerified']","['Essentials', 'Heating', 'Hot water', 'Iron']"
Private suite. Downtown TO East end Danforth,"󱀁
Entire home
You’ll have the guest suite to yourself.",Toronto,$99,337 reviews,4.81,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n337 Reviews', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'TV', 'Iron']"
Downtown Toronto - Private Room (NO EXTRA FEES),"󰄄
Self check-in
Check yourself in with the lockbox.",Toronto,$50,322 reviews,4.70,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n328 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
Little Italy - apartment,"󱀁
Entire home
You’ll have the townhouse to yourself.",Toronto,$65,138 reviews,4.80,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n248 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV']"
Private separate apartment. Fully stocked kitchen,"󱀁
Entire home
You’ll have the apartment to yourself.",Toronto,$70,187 reviews,4.74,"['4 guests', 'Studio', '0 beds', '1 bath', '\U000f0004\n187 Reviews', '\U000f0019\nVerified']","['Indoor fireplace', 'Wifi', 'Kitchen', 'Laptop-friendly workspace']"
High Floor |Balcony | Lake View | 100% Walk | PATH,"󱀁
Entire home
You’ll have the condominium to yourself.",Toronto,$99,211 reviews,4.57,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n721 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'TV']"
Spacious and Cozy Apartment in Toronto,"󱀁
Entire home
You’ll have the house to yourself.",Toronto,$62,174 reviews,4.82,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n174 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron']"
